====================================================================================================
COLDCARD Mk3 RNG EXPLOIT — DRAIN TIMELINE ANALYSIS (FULL, 100% COVERAGE)
====================================================================================================
Date: 2026-08-26 19:30
Addresses analyzed: 35,066 (of 35,188 victims)
  Unique drain dates: 1,899
  Total drained (first-drain sum): 10230.95 BTC
  Drain waves (>=10 addr/day, gap<=2d): 368
====================================================================================================

DRAIN WAVES
----------------------------------------------------------------------------------------------------
Wave 1: 2021-05-11 | 13 addresses | 7.08 BTC
2025-08-30           1         0.00      7139.06
2025-08-31           3         0.02      7139.08
2025-09-01          11         0.33      7139.40
2025-09-02          12         1.87      7141.27
2025-09-03          10         0.70      7141.97
2025-09-04           2         6.00      7147.97
2025-09-05           8         5.35      7153.31
2025-09-06          13         0.40      7153.71
2025-09-07           1         0.02      7153.73
2025-09-08           1         0.02      7153.75
2025-09-09           8         1.67      7155.42
2025-09-10          11         2.45      7157.87
2025-09-11           9         5.11      7162.98
2025-09-12           3         0.11      7163.09
2025-09-13          10         6.40      7169.50
2025-09-14           2         0.49      7169.98
2025-09-15           7        13.98      7183.97
2025-09-16          11         4.13      7188.10
2025-09-17           5         1.84      7189.93
2025-09-18          19         3.25      7193.19
2025-09-19          14         2.20      7195.39
2025-09-20           3         2.78      7198.16
2025-09-21           6         0.50      7198.67
2025-09-22           5         0.08      7198.74
2025-09-23           1         0.67      7199.42
2025-09-24           4         1.63      7201.05
2025-09-25           4         4.23      7205.27
2025-09-26          10         1.81      7207.08
2025-09-27          18         2.49      7209.57
2025-09-28          15         2.95      7212.52
2025-09-29          74        14.93      7227.44
2025-09-30          28         3.05      7230.50
2025-10-01          12         0.47      7230.96
2025-10-02          11         2.49      7233.46
2025-10-03           3         5.30      7238.76
2025-10-04           3         0.71      7239.47
2025-10-05           7         2.79      7242.26
2025-10-06           6         0.97      7243.23
2025-10-07           7         0.62      7243.86
2025-10-08           3         1.00      7244.86
2025-10-09           8         1.92      7246.78
2025-10-10          23         0.90      7247.68
2025-10-11          29         1.30      7248.98
2025-10-12           3         0.18      7249.16
2025-10-13           9         0.56      7249.73
2025-10-14          10        12.36      7262.09
2025-10-16           7         0.24      7262.33
2025-10-17           3         1.16      7263.48
2025-10-19           3         4.81      7268.29
2025-10-20           4         0.22      7268.51
2025-10-21           4         5.02      7273.53
2025-10-22           6         0.27      7273.81
2025-10-23           2         3.70      7277.51
2025-10-26          40         0.60      7278.11
2025-10-27          19         3.26      7281.36
2025-10-28           3         0.32      7281.69
2025-10-29           2         0.06      7281.74
2025-10-30          11         0.41      7282.16
2025-10-31          24         6.37      7288.52
2025-11-01          17         1.75      7290.28
2025-11-02           5         9.57      7299.85
2025-11-03          10         0.66      7300.51
2025-11-04          13         1.69      7302.20
2025-11-05          15         1.47      7303.67
2025-11-06           7         1.63      7305.30
2025-11-07           3       108.24      7413.54
2025-11-08           2         0.04      7413.58
2025-11-09           2         0.84      7414.42
2025-11-10          10         0.44      7414.86
2025-11-11           9         1.55      7416.41
2025-11-12          11         0.17      7416.59
2025-11-13           2         0.72      7417.30
2025-11-14           8         0.39      7417.69
2025-11-15          10        54.52      7472.21
2025-11-16           1         0.01      7472.22
2025-11-17           2         2.59      7474.81
2025-11-18          19        11.57      7486.38
2025-11-19           7         8.57      7494.95
2025-11-20           7         3.32      7498.26
2025-11-21          63        53.69      7551.96
2025-11-22           1         0.19      7552.15
2025-11-23           1         0.00      7552.15
2025-11-24           7         0.24      7552.40
2025-11-25           2         0.06      7552.46
2025-11-26          10         3.64      7556.10
2025-11-28          17         1.99      7558.09
2025-11-29           3        12.06      7570.16
2025-11-30           2         0.69      7570.85
2025-12-01           8         0.80      7571.65
2025-12-02           9         0.35      7572.00
2025-12-03          11         3.60      7575.60
2025-12-04           2         0.07      7575.67
2025-12-05           1         0.55      7576.22
2025-12-06           1         0.09      7576.32
2025-12-07           1        10.45      7586.76
2025-12-08           1         0.35      7587.11
2025-12-09           5         1.44      7588.55
2025-12-10           6         1.68      7590.23
2025-12-11           9         0.65      7590.88
2025-12-12           5         0.61      7591.49
2025-12-13           1         0.74      7592.23
2025-12-14           8         1.31      7593.54
2025-12-15           9         7.15      7600.69
2025-12-16           2         0.05      7600.74
2025-12-17           5         7.76      7608.51
2025-12-18           2         0.05      7608.55
2025-12-19           2         3.89      7612.44
2025-12-20           7         0.50      7612.94
2025-12-21           1         0.02      7612.96
2025-12-22           4         5.24      7618.21
2025-12-23           5         1.36      7619.57
2025-12-24           8         1.83      7621.40
2025-12-25           1         0.19      7621.59
2025-12-26           5         3.97      7625.57
2025-12-27           1         0.06      7625.63
2025-12-28           3         0.73      7626.36
2025-12-29           4         4.78      7631.14
2025-12-30          20         0.87      7632.01
2025-12-31           9         0.32      7632.34
2026-01-01           3         0.11      7632.44
2026-01-02           2         1.19      7633.63
2026-01-03           4         1.63      7635.26
2026-01-04           2         1.50      7636.77
2026-01-06           4         0.52      7637.29
2026-01-07           3         0.27      7637.55
2026-01-08           5         1.63      7639.19
2026-01-09           5         0.81      7640.00
2026-01-10          11         4.31      7644.31
2026-01-11           3         3.83      7648.15
2026-01-12           9         2.75      7650.89
2026-01-13           5         0.45      7651.34
2026-01-14           7         1.03      7652.37
2026-01-15           5         4.11      7656.48
2026-01-16          17         2.65      7659.13
2026-01-17           2         0.00      7659.13
2026-01-18           2         2.98      7662.11
2026-01-19           3         0.64      7662.75
2026-01-20           5         0.72      7663.46
2026-01-21           8         2.53      7665.99
2026-01-22           2         0.41      7666.40
2026-01-23           2         0.82      7667.23
2026-01-24           5         2.05      7669.28
2026-01-25           8         2.51      7671.79
2026-01-26          12         5.50      7677.29
2026-01-27           2         0.17      7677.46
2026-01-28           5         6.61      7684.07
2026-01-29           1         0.10      7684.17
2026-01-30          14         2.40      7686.57
2026-01-31          15         3.32      7689.89
2026-02-01          49        10.64      7700.53
2026-02-02           8         1.03      7701.56
2026-02-03          21         0.57      7702.13
2026-02-04           2         0.00      7702.13
2026-02-05          97        23.11      7725.24
2026-02-06          13        17.68      7742.92
2026-02-07           9         2.35      7745.27
2026-02-08           8         0.69      7745.96
2026-02-09           1         0.09      7746.05
2026-02-10           5         0.80      7746.85
2026-02-11           3         1.30      7748.15
2026-02-12           1         7.16      7755.31
2026-02-13           2         0.49      7755.80
2026-02-14           1         0.07      7755.87
2026-02-15           3         0.57      7756.44
2026-02-16           6         0.63      7757.07
2026-02-17           4         0.03      7757.10
2026-02-18          13         4.84      7761.94
2026-02-19           5         0.19      7762.13
2026-02-20          11         0.34      7762.47
2026-02-21           5         0.05      7762.52
2026-02-22           3         0.90      7763.42
2026-02-23          12         7.51      7770.93
2026-02-24           2         1.80      7772.73
2026-02-25           5         0.76      7773.50
2026-02-27           1         1.18      7774.67
2026-02-28           5         0.22      7774.89
2026-03-01           1         3.80      7778.69
2026-03-02           2         0.08      7778.77
2026-03-03           5         0.02      7778.79
2026-03-04          16         6.12      7784.92
2026-03-05           5         0.49      7785.41
2026-03-06          19         2.57      7787.98
2026-03-07           1         0.02      7788.00
2026-03-08           3         0.09      7788.08
2026-03-09           1         0.33      7788.41
2026-03-10           3         7.22      7795.63
2026-03-12           9         2.39      7798.02
2026-03-13           3         0.15      7798.17
2026-03-14           3         1.15      7799.32
2026-03-16          30         2.87      7802.19
2026-03-17           1         0.47      7802.66
2026-03-18           3         0.40      7803.06
2026-03-19           4         0.81      7803.87
2026-03-20           6         0.08      7803.94
2026-03-21           4         0.06      7804.01
2026-03-22          10         1.58      7805.59
2026-03-23           8         1.07      7806.66
2026-03-24           4         2.01      7808.67
2026-03-25           1         0.01      7808.68
2026-03-26           2         4.66      7813.34
2026-03-27           2         0.00      7813.34
2026-03-29           2         0.44      7813.78
2026-03-30           7         2.10      7815.88
2026-03-31          11         4.35      7820.23
2026-04-01           7         2.33      7822.56
2026-04-02           4         0.72      7823.28
2026-04-04           2         0.16      7823.44
2026-04-05           8         0.76      7824.21
2026-04-06           1         0.33      7824.53
2026-04-07           2         2.73      7827.26
2026-04-08          12         7.29      7834.56
2026-04-09           5        12.65      7847.20
2026-04-10          41         0.42      7847.62
2026-04-11           3         0.22      7847.84
2026-04-12          19         7.83      7855.67
2026-04-13           9         1.04      7856.71
2026-04-14         140         0.40      7857.11
2026-04-15         223         6.15      7863.26
2026-04-16          40         7.06      7870.32
2026-04-17          18         8.84      7879.16
2026-04-18           1         0.65      7879.81
2026-04-19           2         0.05      7879.86
2026-04-20           6         0.42      7880.28
2026-04-21           1         0.26      7880.53
2026-04-22           3         0.10      7880.63
2026-04-23           3         3.87      7884.50
2026-04-24          12         3.47      7887.97
2026-04-25           1         0.00      7887.97
2026-04-26           1         0.25      7888.22
2026-04-27           1         0.01      7888.23
2026-04-28           1         4.25      7892.48
2026-04-29          11         2.16      7894.64
2026-04-30           9         0.63      7895.27
2026-05-01           2         0.28      7895.55
2026-05-02           1         0.01      7895.56
2026-05-04           7         2.20      7897.76
2026-05-05          13         1.67      7899.43
2026-05-06          12         1.88      7901.31
2026-05-07           5         0.23      7901.54
2026-05-08          12         0.20      7901.74
2026-05-09           2         0.11      7901.86
2026-05-10           1         0.08      7901.94
2026-05-11           1         0.01      7901.95
2026-05-12           2         0.08      7902.03
2026-05-13           1         0.07      7902.10
2026-05-14           2         0.25      7902.34
2026-05-15          11         0.37      7902.71
2026-05-16           2         3.21      7905.93
2026-05-17           4         0.40      7906.32
2026-05-18          51         7.75      7914.07
2026-05-19          27         6.69      7920.76
2026-05-20           2         6.41      7927.17
2026-05-23           5         2.84      7930.01
2026-05-24           1         0.44      7930.45
2026-05-25           4         0.16      7930.61
2026-05-26           3         3.70      7934.31
2026-05-27           2         3.52      7937.83
2026-05-28           4         7.62      7945.45
2026-05-29           4         0.08      7945.53
2026-05-30           4        11.49      7957.02
2026-05-31           3         0.37      7957.39
2026-06-01           9         6.50      7963.89
2026-06-02          46         5.59      7969.48
2026-06-04          11         5.17      7974.65
2026-06-05           1         1.26      7975.91
2026-06-07           1         0.06      7975.97
2026-06-08           4         0.19      7976.16
2026-06-09           2         1.02      7977.18
2026-06-10           6         1.86      7979.03
2026-06-11           6         2.91      7981.94
2026-06-12           3         2.83      7984.77
2026-06-13           3         0.05      7984.81
2026-06-15           6         3.48      7988.29
2026-06-16          30         1.27      7989.56
2026-06-17         106        22.20      8011.76
2026-06-18          26        20.43      8032.19
2026-06-19           1         0.19      8032.39
2026-06-20           1         0.95      8033.34
2026-06-21           1         0.08      8033.43
2026-06-22          11         0.72      8034.14
2026-06-23          18         0.12      8034.27
2026-06-24           8         1.10      8035.37
2026-06-25           1         0.80      8036.17
2026-06-26           1         0.00      8036.17
2026-06-27           3        11.72      8047.89
2026-06-28           2         0.27      8048.16
2026-06-29           7        14.12      8062.28
2026-06-30          17         4.66      8066.94
2026-07-01           4         0.10      8067.04
2026-07-02           2         0.53      8067.57
2026-07-04           2         0.25      8067.82
2026-07-05          19         9.07      8076.88
2026-07-06           2         0.15      8077.03
2026-07-07           1         0.08      8077.11
2026-07-10           4         0.05      8077.16
2026-07-13           1         0.01      8077.17
2026-07-14           1         0.06      8077.24
2026-07-15           4         1.87      8079.11
2026-07-16          13         0.55      8079.66
2026-07-17           2         0.15      8079.80
2026-07-18           1         0.01      8079.81
2026-07-20           2         1.03      8080.84
2026-07-22          10         0.37      8081.21
2026-07-23           2         0.09      8081.30
2026-07-24           2         0.03      8081.33
2026-07-25           1         0.01      8081.34
2026-07-26           8         0.04      8081.38
2026-07-27           1         0.90      8082.27
2026-07-28           3         3.40      8085.67
2026-07-29           3         8.08      8093.76
2026-07-30        1354       935.21      9028.97
2026-07-31        7937      1046.35     10075.31
2026-08-01        1456       138.19     10213.51
2026-08-02          55        16.59     10230.09
2026-08-03           2         0.01     10230.10
2026-08-04           4         0.26     10230.36
2026-08-05           4         0.00     10230.36
2026-08-06           5         0.59     10230.95
2026-08-07           3         0.00     10230.95
2026-08-09           1         0.00     10230.95
2026-08-10           2         0.00     10230.95
2026-08-13           2         0.00     10230.95
2026-08-14           1         0.00     10230.95
2026-08-15           4         0.00     10230.95
2026-08-17           3         0.00     10230.95

DRAINS BY MONTH
----------------------------------------------------------------------------------------------------
  2021-03            14
  2021-04            54
  2021-05           117
  2021-06           105
  2021-07           138
  2021-08           165
  2021-09           208
  2021-10           327
  2021-11           378
  2021-12           399
  2022-01           326
  2022-02           434
  2022-03           576
  2022-04           482
  2022-05           533
  2022-06           379
  2022-07           505
  2022-08           256
  2022-09           300
  2022-10           351
  2022-11           363
  2022-12           312
  2023-01           373
  2023-02           270
  2023-03           440
  2023-04           418
  2023-05           275
  2023-06           931
  2023-07           506
  2023-08           334
  2023-09           195
  2023-10           338
  2023-11           484
  2023-12           403
  2024-01          1091
  2024-02           787
  2024-03           644
  2024-04           681
  2024-05           481
  2024-06           369
  2024-07           313
  2024-08           330
  2024-09           346
  2024-10           368
  2024-11           654
  2024-12           352
  2025-01           447
  2025-02           650
  2025-03           337
  2025-04           420
  2025-05           396
  2025-06           349
  2025-07           417
  2025-08           278
  2025-09           325
  2025-10           262
  2025-11           266
  2025-12           156
  2026-01           171
  2026-02           295
  2026-03           166
  2026-04           586
  2026-05           188
  2026-06           331
  2026-07          9379
  2026-08          1542

FUNDING TIMELINE (when victims first received BTC)
----------------------------------------------------------------------------------------------------
Date             Count
----------------------------------------------------------------------------------------------------
2021-03             34
2021-04            198
2021-05            497
2021-06            317
2021-07            385
2021-08            625
2021-09            676
2021-10            901
2021-11            956
2021-12            940
2022-01           1061
2022-02           1112
2022-03           1292
2022-04           1129
2022-05           1196
2022-06           1395
2022-07            989
2022-08            788
2022-09            601
2022-10            699
2022-11           1062
2022-12            860
2023-01            878
2023-02            651
2023-03            782
2023-04            606
2023-05            549
2023-06            700
2023-07            599
2023-08            546
2023-09            440
2023-10            485
2023-11            482
2023-12            491
2024-01            590
2024-02            516
2024-03            700
2024-04            506
2024-05            359
2024-06            387
2024-07            363
2024-08            373
2024-09            374
2024-10            363
2024-11            383
2024-12            370
2025-01            393
2025-02            350
2025-03            289
2025-04            283
2025-05            280
2025-06            310
2025-07            338
2025-08            276
2025-09            224
2025-10            201
2025-11            253
2025-12            223
2026-01            181
2026-02            179
2026-03            156
2026-04            199
2026-05            115
2026-06            154
2026-07            406
2026-08             50

TIME FROM FIRST FUNDING TO DRAIN
----------------------------------------------------------------------------------------------------
  Addresses with timing data: 35,065
  Min: 0.0 days
  Max: 1957.2 days
  Median: 309.8 days
  Mean: 535.4 days

  Distribution:
    <1 month           9202 (26.2%)
    1-3 months         2965 (8.5%)
    3-6 months         2459 (7.0%)
    6-12 months        3785 (10.8%)
    1-2 years          5414 (15.4%)
    2+ years          11240 (32.1%)

TOP 20 DRAIN BLOCKS (by address count)
----------------------------------------------------------------------------------------------------
  Block   960363:   888 addresses
  Block   960563:   550 addresses
  Block   960185:   404 addresses
  Block   960359:   390 addresses
  Block   960352:   370 addresses
  Block   960469:   310 addresses
  Block   960369:   262 addresses
  Block   960564:   231 addresses
  Block   960324:   194 addresses
  Block   960413:   193 addresses
  Block   960347:   177 addresses
  Block   960332:   171 addresses
  Block   960439:   167 addresses
  Block   890632:   161 addresses
  Block   960190:   157 addresses
  Block   960342:   157 addresses
  Block   960437:   153 addresses
  Block   960183:   152 addresses
  Block   960335:   143 addresses
  Block   960191:   140 addresses

